TransactionID,ItemName,Category,Quantity,UnitPrice,TotalCost,PurchaseDate,Supplier,Buyer
T0001,Laptop,Electronics,10,999.99,9999.90,2024-01-05,TechMart Inc.,buyer01
T0002,Annual Software License,Software,1,336018.00,336018.00,2024-01-10,CloudSoft Corp.,buyer02
T0003,Monitor,Electronics,5,26014.52,130072.60,2024-01-12,TechMart Inc.,buyer03
T0004,Printer,Electronics,2,47723.91,95447.82,2024-01-15,QuickDeliver Ltd.,buyer04
T0005,Desk Chair,Furniture,20,4592.89,91857.80,2024-01-18,FurniWorks Ltd.,buyer05
T0006,Whiteboard,Accessories,3,150.00,450.00,2024-01-20,OfficeSupplies Co.,buyer06
T0007,Laptop Bag,Accessories,15,49.99,749.85,2024-01-22,OfficeSupplies Co.,buyer07
T0008,Stapler,Stationery,50,5.00,250.00,2024-01-25,OfficeSupplies Co.,buyer08
T0009,Printer Ink,Office Supplies,40,24.95,998.00,2024-01-27,OfficeSupplies Co.,buyer09
T0010,USB Cable,Accessories,100,3.50,350.00,2024-02-01,QuickDeliver Ltd.,buyer10
T0011,Laptop,Electronics,5,999.99,4999.95,2024-02-05,TechMart Inc.,buyer11
T0012,Monitor,Electronics,2,65036.30,130072.60,2024-02-10,QuickDeliver Ltd.,buyer12
T0013,Desk Chair,Furniture,10,4592.89,45928.90,2024-02-11,FurniWorks Ltd.,buyer13
T0014,Keyboard,Electronics,25,45.00,1125.00,2024-02-12,TechMart Inc.,buyer14
T0015,Mouse,Electronics,30,20.00,600.00,2024-02-13,TechMart Inc.,buyer15
T0016,Notepad,Stationery,200,2.50,500.00,2024-02-14,OfficeSupplies Co.,buyer16
T0017,Webcam,Electronics,12,120.00,1440.00,2024-02-15,CloudSoft Corp.,buyer17
T0018,Headset,Electronics,8,85.00,680.00,2024-02-16,QuickDeliver Ltd.,buyer18
T0019,Router,Electronics,4,300.00,1200.00,2024-02-18,TechMart Inc.,buyer19
T0020,Server Rack,Furniture,1,15000.00,15000.00,2024-02-20,FurniWorks Ltd.,buyer20
T0021,Monitor,Electronics,1,130072.59,130072.59,2024-02-22,CloudSoft Corp.,buyer21
T0022,Annual Software License,Software,1,1000.00,1000.00,2024-02-25,CloudSoft Corp.,buyer22
T0023,Laptop,Electronics,3,999.99,2999.97,2024-03-01,TechMart Inc.,buyer23
T0024,Printer,Electronics,1,95447.83,95447.83,2024-03-03,QuickDeliver Ltd.,buyer24
T0025,Stapler,Stationery,10,5.00,50.00,2024-03-05,OfficeSupplies Co.,buyer25
T0026,Monitor,Electronics,2,65036.30,130072.60,2024-03-10,TechMart Inc.,buyer26
T0027,Laptop Bag,Accessories,2,49.99,99.98,2024-03-11,OfficeSupplies Co.,buyer27
T0028,Whiteboard,Accessories,1,150.00,150.00,2024-03-12,QuickDeliver Ltd.,buyer28
T0029,Desk Lamp,Accessories,10,25.00,250.00,2024-03-15,OfficeSupplies Co.,buyer29
T0030,Annual Software License,Software,1,10000.00,10000.00,2024-03-20,CloudSoft Corp.,buyer30
